City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rikitea,-23.1203,-134.9692,78.94,80,100,17.29,PF,1674628790
1,North Bend,43.4065,-124.2243,40.06,99,0,0.0,US,1674628864
2,Gizo Government Station,-8.103,156.8419,82.36,75,100,2.95,SB,1674628864
3,Tuktoyaktuk,69.4541,-133.0374,-4.0,77,100,12.66,CA,1674628865
4,Jumla,29.2747,82.1838,48.88,55,100,4.74,NP,1674628866
5,Barrow,71.2906,-156.7887,-11.18,70,0,19.57,US,1674628866
6,Beringovskiy,63.05,179.3167,-13.27,94,39,12.64,RU,1674628867
7,Lebu,-37.6167,-73.65,54.32,78,6,15.32,CL,1674628867
8,Laas,46.6166,10.7002,32.88,72,41,3.51,IT,1674628868
9,Mar del Plata,-38.0023,-57.5575,66.22,73,0,15.01,AR,1674628797
10,San Quintín,30.4833,-115.95,54.18,56,100,1.48,MX,1674628869
11,Jamestown,42.097,-79.2353,28.71,72,0,4.61,US,1674628829
12,Souillac,-20.5167,57.5167,75.58,94,75,6.91,MU,1674628870
13,George Town,5.4112,100.3354,85.98,71,20,8.05,MY,1674628664
14,Tabou,4.423,-7.3528,76.84,88,84,4.14,CI,1674628871
15,Amga,60.8953,131.9608,-43.91,99,100,0.96,RU,1674628871
16,Podgornoye,51.735,39.1496,10.62,92,0,4.47,RU,1674628872
17,Port Shepstone,-30.7414,30.455,72.68,80,100,18.3,ZA,1674628873
18,Atuona,-9.8,-139.0333,78.67,78,9,17.63,PF,1674628873
19,Hong Kong,22.2855,114.1577,60.24,65,95,10.0,HK,1674628864
20,Hermanus,-34.4187,19.2345,64.8,49,0,10.27,ZA,1674628874
21,Hilo,19.7297,-155.09,73.27,90,40,4.61,US,1674628875
22,Ola,59.5833,151.2833,3.15,86,100,10.56,RU,1674628876
23,Karlskrona,56.1616,15.5866,32.45,89,28,14.09,SE,1674628876
24,Avarua,-21.2078,-159.775,78.85,78,13,3.44,CK,1674628877
25,Butaritari,3.0707,172.7902,81.39,79,100,18.25,KI,1674628877
26,Sidi Ali,36.0998,0.4206,44.67,73,100,5.1,DZ,1674628878
27,Flinders,-34.5833,150.8552,82.18,73,0,8.99,AU,1674628879
28,Thai Binh,20.45,106.3333,63.19,50,98,8.81,VN,1674628880
29,Gunjur,13.2019,-16.7339,68.07,94,0,2.3,GM,1674628881
30,Vaini,-21.2,-175.2,82.56,78,20,5.75,TO,1674628882
31,Hacarí,8.3233,-73.1489,60.19,94,11,2.68,CO,1674628882
32,Busselton,-33.65,115.3333,82.04,39,0,10.2,AU,1674628883
33,Hobart,-42.8794,147.3294,78.66,54,20,8.05,AU,1674628879
34,Hervey Bay,-25.2986,152.8535,80.08,71,7,12.28,AU,1674628884
35,Rawson,-43.3002,-65.1023,61.5,35,3,8.68,AR,1674628707
36,Albany,42.6001,-73.9662,31.37,81,100,4.0,US,1674628885
37,Guerrero Negro,27.9769,-114.0611,56.03,46,46,3.69,MX,1674628886
38,Nikolskoye,59.7035,30.7861,31.91,93,100,10.76,RU,1674628887
39,Agbor,6.2518,6.1934,77.65,86,10,3.24,NG,1674628887
40,Qaanaaq,77.484,-69.3632,6.42,68,100,9.51,GL,1674628888
41,Yeniseysk,58.4497,92.1703,-1.44,95,100,2.77,RU,1674628888
42,Limoeiro do Ajuru,-1.8953,-49.3806,73.4,93,40,5.91,BR,1674628889
43,Castro,-24.7911,-50.0119,59.47,90,0,2.51,BR,1674628890
44,Ushuaia,-54.8,-68.3,49.66,62,75,21.85,AR,1674628890
45,Kavaratti,10.5669,72.642,78.1,81,100,13.98,IN,1674628891
46,Cherskiy,68.75,161.3,-24.61,97,100,1.03,RU,1674628892
47,Rosetta,31.4044,30.4164,62.85,62,0,8.77,EG,1674628892
48,San Patricio,28.017,-97.5169,55.24,57,0,14.14,US,1674628893
49,Pakxan,18.3778,103.6601,79.83,26,6,2.19,LA,1674628893
